utc,location,co,co_max,co_min,no2,no2_max,no2_min,o3,o3_max,o3_min,pm10,pm10_max,pm10_min,pm25,pm25_max,pm25_min,so2,so2_max,so2_min
2017-01-31 00:00:00+00:00,Bukhiin urguu,2194.45339361367,4825.22105263158,2194.45339361367,147.56996695987,232.162162162162,147.56996695987,14.519283969857,44.6354166666667,14.519283969857,174.893956423138,385.177083333333,174.893956423138,124.547020199531,338.13829787234,124.547020199531,94.9844204472142,144.378947368421,94.9844204472142
2017-02-28 00:00:00+00:00,Bukhiin urguu,1760.05215382522,2523.59574468085,1760.05215382522,132.144458630856,204.03125,132.144458630856,14.4115790567447,34.1770833333333,14.4115790567447,138.282179702259,226.0625,138.282179702259,86.941396008132,145.854166666667,86.941396008132,76.4205693145235,135.115789473684,76.4205693145235
2017-03-31 00:00:00+00:00,Bukhiin urguu,1181.67077875035,2107.35789473684,1181.67077875035,110.232106965934,126.9375,110.232106965934,20.7909161537299,35.9583333333333,20.7909161537299,94.0541855740331,180.1875,94.0541855740331,43.0317553092356,77.7395833333333,43.0317553092356,44.6946151318528,83.4347826086957,44.6946151318528
2017-04-30 00:00:00+00:00,Bukhiin urguu,945.863194822731,1464.39583333333,945.863194822731,92.6433273571536,111.916666666667,92.6433273571536,21.3290321805329,33.9811320754717,21.3290321805329,90.9016929828606,396.107692307692,90.9016929828606,26.7759914232204,54.3578947368421,26.7759914232204,27.6775801064025,63.7368421052632,27.6775801064025
2017-05-31 00:00:00+00:00,Bukhiin urguu,627.614667881576,918.536842105263,627.614667881576,69.8405659851248,87.8148148148148,69.8405659851248,25.9418983770955,38.5666666666667,25.9418983770955,79.5915692823967,177.673684210526,79.5915692823967,14.3720091485522,26.1098901098901,14.3720091485522,10.3467183089734,29.0888888888889,10.3467183089734
2017-06-30 00:00:00+00:00,Bukhiin urguu,620.025953071457,2128.47142857143,620.025953071457,58.331557732888,87.8591549295775,58.331557732888,25.9895093704936,37.6944444444444,25.9895093704936,75.7418690237412,181.819444444444,75.7418690237412,20.762181769414,45.71875,20.762181769414,3.86347331632085,19.2033898305085,3.86347331632085
2017-07-31 00:00:00+00:00,Bukhiin urguu,640.273117873537,1779.46913580247,640.273117873537,41.6456006821239,57.0909090909091,41.6456006821239,27.8890907219265,40.0526315789474,27.8890907219265,62.587511698883,134.926829268293,62.587511698883,26.3077661441273,92.4024390243902,26.3077661441273,2.00543112671623,7.87692307692308,2.00543112671623
2017-08-31 00:00:00+00:00,Bukhiin urguu,550.997369593794,817.388888888889,550.997369593794,52.8199836125415,72.9655172413793,52.8199836125415,16.3767475480052,31.3661971830986,16.3767475480052,280.36953057511,2827.2037037037,280.36953057511,13.1158481200989,22.1818181818182,13.1158481200989,2.57097793089304,9.72368421052632,2.57097793089304
2017-09-30 00:00:00+00:00,Bukhiin urguu,717.037245138561,1767.45,717.037245138561,61.3117544939482,82.3170731707317,61.3117544939482,12.6575846208466,23.8333333333333,12.6575846208466,68.9599470183731,122.560975609756,68.9599470183731,18.1357186374318,41.9393939393939,18.1357186374318,4.05460060902579,15.6585365853659,4.05460060902579
2017-10-31 00:00:00+00:00,Bukhiin urguu,1445.38989486181,3554.33333333333,1445.38989486181,87.8587682790195,134,87.8587682790195,4.83131154806297,22.7741935483871,4.83131154806297,132.38412494208,247.806451612903,132.38412494208,37.3516501347781,75.1363636363636,37.3516501347781,20.2340130327498,81,20.2340130327498
2017-11-30 00:00:00+00:00,Bukhiin urguu,1783.00194919886,4170.64285714286,1783.00194919886,98.1786627127219,140,98.1786627127219,1.25764571881588,2.65217391304348,1.25764571881588,157.6543638379,444.333333333333,157.6543638379,83.3460888322296,205.733333333333,83.3460888322296,29.8290665324014,65.9285714285714,29.8290665324014
2017-12-31 00:00:00+00:00,Bukhiin urguu,2069.07140338252,4923.38461538462,2069.07140338252,103.245564836475,157.807692307692,103.245564836475,0.948297671970637,2.58333333333333,0.948297671970637,196.983133155228,506.5,196.983133155228,106.599159450157,270.192307692308,106.599159450157,38.4491126255682,82.2692307692308,38.4491126255682
2017-01-31 00:00:00+00:00,Amgalan,2270.29956399697,6196.64583333333,2270.29956399697,55.7174401720879,83.4166666666667,55.7174401720879,25.9339131878133,62.6666666666667,25.9339131878133,153.018096666562,308.375,153.018096666562,133.990041709101,285.645833333333,133.990041709101,92.8286816747505,169.166666666667,92.8286816747505
2017-02-28 00:00:00+00:00,Amgalan,1242.29145659896,2358.66666666667,1242.29145659896,51.6233086438755,80.625,51.6233086438755,51.3134434248845,75.0833333333333,51.3134434248845,150.762545063832,238.4375,150.762545063832,97.5077618844334,156.5625,97.5077618844334,65.2570537585799,95.3111111111111,65.2570537585799
2017-03-31 00:00:00+00:00,Amgalan,852.427966798159,1600.48717948718,852.427966798159,33.8584709881467,52.1041666666667,33.8584709881467,73.1820213744974,91.0555555555556,73.1820213744974,127.888582688729,259.125,127.888582688729,48.9399431603876,71.7708333333333,48.9399431603876,28.7493231907268,75.9583333333333,28.7493231907268
2017-04-30 00:00:00+00:00,Amgalan,648.194850394123,1566.77083333333,648.194850394123,25.9756319458202,48.4166666666667,25.9756319458202,80.0700290684621,108.103448275862,80.0700290684621,166.291756830311,287.541666666667,166.291756830311,41.0392229564315,76.5833333333333,41.0392229564315,18.0897937793931,35.1041666666667,18.0897937793931
